EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,EntryPriceGross,ExitPriceGross,Fees,GrossPnL,NetPnL,TimeOfDay,Strategy,WF_Period,ParamsJSON
2023-01-20 01:00:00,2023-01-20 04:00:00,SHORT,4215.36,4244.23,1.0,4229.0,4230.5,2.4,-1443.4999999999945,-1445.8999999999946,01:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-20 11:00:00,2023-01-20 14:00:00,SHORT,4220.06,4249.53,1.0,4234.0,4235.5,2.4,-1473.4999999999673,-1475.8999999999673,11:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-20 21:00:00,2023-01-21 00:00:00,SHORT,4224.76,4254.83,1.0,4239.0,4240.5,2.4,-1503.4999999999854,-1505.8999999999855,21:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-21 07:00:00,2023-01-21 10:00:00,SHORT,4229.46,4260.13,1.0,4244.0,4245.5,2.4,-1533.5000000000036,-1535.9000000000037,07:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-21 17:00:00,2023-01-21 20:00:00,SHORT,4234.16,4265.43,1.0,4249.0,4250.5,2.4,-1563.5000000000218,-1565.900000000022,17:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-30 20:00:00,2023-01-31 00:00:00,SHORT,4337.09,4382.03,1.0,4358.5,4360.5,2.4,-2246.99999999998,-2249.39999999998,20:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-01-31 04:00:00,2023-01-31 10:00:00,SHORT,4340.85,4387.33,1.0,4362.5,4365.5,2.4,-2323.999999999978,-2326.3999999999783,04:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-01-31 14:00:00,2023-01-31 20:00:00,SHORT,4345.55,4392.63,1.0,4367.5,4370.5,2.4,-2353.9999999999964,-2356.3999999999965,14:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-01 00:00:00,2023-02-01 06:00:00,SHORT,4350.25,4397.93,1.0,4372.5,4375.5,2.4,-2384.0000000000146,-2386.4000000000146,00:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-01 10:00:00,2023-02-01 16:00:00,SHORT,4354.95,4403.23,1.0,4377.5,4380.5,2.4,-2413.9999999999873,-2416.3999999999874,10:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-01 20:00:00,2023-02-02 02:00:00,SHORT,4359.65,4408.53,1.0,4382.5,4385.5,2.4,-2444.0000000000055,-2446.4000000000055,20:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-02 06:00:00,2023-02-02 12:00:00,SHORT,4364.35,4413.83,1.0,4387.5,4390.5,2.4,-2473.999999999978,-2476.3999999999783,06:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-02 16:00:00,2023-02-02 22:00:00,SHORT,4369.05,4419.13,1.0,4392.5,4395.5,2.4,-2503.9999999999964,-2506.3999999999965,16:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-03 02:00:00,2023-02-03 08:00:00,SHORT,4373.75,4424.43,1.0,4397.5,4400.5,2.4,-2534.0000000000146,-2536.4000000000146,02:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-03 12:00:00,2023-02-03 18:00:00,SHORT,4378.45,4429.73,1.0,4402.5,4405.5,2.4,-2563.9999999999873,-2566.3999999999874,12:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-03 22:00:00,2023-02-04 04:00:00,SHORT,4383.15,4435.03,1.0,4407.5,4410.5,2.4,-2594.0000000000055,-2596.4000000000055,22:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-04 08:00:00,2023-02-04 14:00:00,SHORT,4387.85,4440.33,1.0,4412.5,4415.5,2.4,-2623.999999999978,-2626.3999999999783,08:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
2023-02-04 18:00:00,2023-02-04 23:00:00,SHORT,4392.55,4448.6,1.0,4417.5,4423.5,2.4,-2802.500000000009,-2804.900000000009,18:00,Mean Reversion,2,"{""lookback"": 45, ""entry_z"": 1.177304846406624, ""exit_z"": 1.4113703419970214}"
